,Unnamed: 0,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,VAL_DATE,WEBSITE,LEVEL_,HI_OFFER,LOCALE,CLOSE_DATE,INST_SIZE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMP,DESCRIPTION,LOGO
0,73,139393,COVENANT COLLEGE,14049 SCENIC HIGHWAY,LOOKOUT MOUNTAIN,GA,30750,A,1139,DADE,13083,USA,34.96332718900004,-85.37495977899994,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-01T00:00:00Z,www.covenant.edu/,3,20,41,-2,1,69,842,911,228,,
1,106,491570,INSTITUTE OF MEDICAL ULTRASOUND,"225 PEACHTREE STREET NE, SUITE 1925",ATLANTA,GA,30303,A,34,FULTON,13121,USA,33.76012644600007,-84.38732262099995,OTHER TECHNICAL AND TRADE SCHOOLS,2019-12-16T00:00:00Z,www.imu.edu/,2,0,11,-2,1,-999,24,24,10,,
2,228,487092,EMORY UNIVERSITY-OXFORD COLLEGE,801 EMORY STREET,OXFORD,GA,30054,A,1188,NEWTON,13217,USA,33.618563264000045,-83.86837083799998,JUNIOR COLLEGES,2018-02-19T00:00:00Z,www.oxford.emory.edu/,3,40,21,-2,1,7,940,947,241,,
3,297,139506,PRO WAY HAIR SCHOOL,5684 MEMORIAL DR,STONE MOUNTAIN,GA,30083,A,107,DEKALB,13089,USA,33.80180150700005,-84.20518279899994,COSMETOLOGY AND BARBER SCHOOLS,2016-07-25T00:00:00Z,www.prowayhairschool.com/,1,0,21,-2,1,-999,88,88,19,,
4,306,141255,WIREGRASS GEORGIA TECHNICAL COLLEGE,4089 VAL TECH RD,VALDOSTA,GA,31602,A,4068,LOWNDES,13185,USA,30.88922125700003,-83.35380988699995,JUNIOR COLLEGES,2016-08-02T00:00:00Z,https://www.wiregrass.edu/,2,40,23,-2,2,2987,722,3709,359,,
5,380,139199,BRENAU UNIVERSITY,500 WASHINGTON STREET SE,GAINESVILLE,GA,30501,A,3316,HALL,13139,USA,34.303117246000056,-83.82151340399997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,www.brenau.edu/,2,13,13,-2,2,1126,1687,2813,503,,
6,462,139278,WEST GEORGIA TECHNICAL COLLEGE,176 MURPHY CAMPUS BLVD.,WACO,GA,30182,A,7057,HARALSON,13143,USA,33.691656711000064,-85.18366560199996,JUNIOR COLLEGES,2016-07-07T00:00:00Z,https://www.westgatech.edu/,1,40,41,-2,3,4683,1754,6437,620,,
7,474,246813,ATHENS TECHNICAL COLLEGE,800 U.S. HWY 29 NORTH,ATHENS,GA,30601,A,4800,CLARKE,13059,USA,33.99018261400005,-83.33959843399998,JUNIOR COLLEGES,2016-07-07T00:00:00Z,www.athenstech.edu/,3,40,12,-2,2,3422,872,4294,506,,
8,490,139311,CLAYTON STATE UNIVERSITY,2000 CLAYTON STATE BOULEVARD,MORROW,GA,30260,A,7863,CLAYTON,13063,USA,33.59407897600005,-84.32817427099997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,www.clayton.edu/,1,20,21,-2,3,3045,4007,7052,811,,
9,657,139764,GEORGIA SOUTHWESTERN STATE UNIVERSITY,800 GEORGIA SOUTHWESTERN STATE UNIVERSITY DR.,AMERICUS,GA,31709,A,3548,SUMTER,13261,USA,32.058198,-84.217755,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-26T00:00:00Z,https://gsw.edu/,3,20,32,-2,2,1176,1986,3162,386,,
10,667,140696,OGLETHORPE UNIVERSITY,"4484 PEACHTREE ROAD, NE",ATLANTA,GA,30319,A,1683,DEKALB,13089,USA,33.875939447000064,-84.33475635399998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,oglethorpe.edu/,2,30,21,-2,2,81,1371,1452,231,,
11,960,138947,CLARK ATLANTA UNIVERSITY,"223 JAMES P BRAWLEY DRIVE, SW",ATLANTA,GA,30314,A,4465,FULTON,13121,USA,33.74843887500003,-84.41386496299998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,www.cau.edu/,2,12,11,-2,2,328,3448,3776,689,,
13,993,138840,ATLANTA TECHNICAL COLLEGE,1560 METROPOLITAN PKWY SW,ATLANTA,GA,30310,A,3491,FULTON,13121,USA,33.71200949100006,-84.40499505199995,JUNIOR COLLEGES,2016-08-01T00:00:00Z,https://www.atlantatech.edu/,2,40,11,-2,2,2212,818,3030,461,,
14,1006,139995,GUPTON JONES COLLEGE OF FUNERAL SERVICE,5141 SNAPFINGER WOODS DR,DECATUR,GA,30035,A,280,DEKALB,13089,USA,33.71070914300003,-84.17977468999999,JUNIOR COLLEGES,2016-06-24T00:00:00Z,www.gupton-jones.edu/,2,40,21,-2,1,-999,266,266,14,,
15,1031,487162,SOUTHERN REGIONAL TECHNICAL COLLEGE,15689 US HWY 19 NORTH,THOMASVILLE,GA,31792,A,4668,THOMAS,13275,USA,30.863066828000058,-83.95101669799999,JUNIOR COLLEGES,2018-02-19T00:00:00Z,southernregional.edu/,1,40,32,-2,2,2963,1191,4154,514,,
16,1032,475732,CHAMBERLAIN UNIVERSITY-GEORGIA,"5775 PEACHTREE-DUNWOODY ROAD, NE, SUITE A100",ATLANTA,GA,30342,A,1330,FULTON,13121,USA,33.91170207100004,-84.35043883299994,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2020-01-31T00:00:00Z,https://www.chamberlain.edu/,1,30,12,-2,2,950,380,1330,-999,,
17,1044,460826,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-AUGUSTA,621 NW FRONTAGE ROAD,AUGUSTA,GA,30907,A,610,RICHMOND,13245,USA,33.49499386300005,-82.08698607299993,JUNIOR COLLEGES,2016-05-26T00:00:00Z,https://www.miller-motte.edu/campuses/augusta-career-training,1,40,12,-2,1,8,552,560,50,,
18,1101,366465,OGEECHEE TECHNICAL COLLEGE,ONE JOSEPH E. KENNEDY BLVD,STATESBORO,GA,30458,A,2437,BULLOCH,13031,USA,32.395767,-81.818517,JUNIOR COLLEGES,2016-07-29T00:00:00Z,www.ogeecheetech.edu/,3,40,32,-2,2,1340,813,2153,284,,
19,1166,476887,ELAINE STERLING INSTITUTE,3393 PEACHTREE RD NE,ATLANTA,GA,30326,A,416,FULTON,13121,USA,33.88686852400008,-84.38218052599996,COSMETOLOGY AND BARBER SCHOOLS,2016-05-19T00:00:00Z,www.elainesterling.com/,3,0,11,-2,1,71,316,387,29,,
20,1182,482699,SOUTH GEORGIA STATE COLLEGE,100 W COLLEGE PARK DR,DOUGLAS,GA,31533,A,2259,COFFEE,13069,USA,31.497728782000024,-82.85443302099998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-05-18T00:00:00Z,www.sgsc.edu/,1,30,33,-2,2,864,1164,2028,231,,
21,1201,419244,ATLANTA INSTITUTE OF MUSIC AND MEDIA,"2875 BRECKINRIDGE BLVD., SUITE 700",DULUTH,GA,30096,A,293,GWINNETT,13135,USA,33.96069505400004,-84.10504412899996,FINE ARTS SCHOOLS,2016-06-17T00:00:00Z,aimm.edu/,1,40,21,-2,1,123,147,270,23,,
22,1249,138938,ATLANTA SCHOOL OF MASSAGE,2 DUNWOODY PARK SOUTH,ATLANTA,GA,30338,A,353,DEKALB,13089,USA,33.92222437700008,-84.31126411199995,OTHER TECHNICAL AND TRADE SCHOOLS,2016-06-24T00:00:00Z,www.atlantaschoolofmassage.com/,1,0,21,-2,1,120,183,303,50,,
23,1296,475060,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-MACON,175 TOM HILL SR BLVD,MACON,GA,31210,A,255,BIBB,13021,USA,32.89782118000005,-83.68706453099998,JUNIOR COLLEGES,2016-05-31T00:00:00Z,www.miller-motte.edu/,1,40,12,-2,1,4,222,226,29,,
24,1310,482468,DEVRY UNIVERSITY-GEORGIA,"1 WEST COURT SQUARE, STE. 600",DECATUR,GA,30030,A,1138,DEKALB,13089,USA,33.77510548700008,-84.29739848099996,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2015-09-03T00:00:00Z,https://www.devry.edu/,3,20,21,-2,2,516,497,1013,125,,
25,1324,458441,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-COLUMBUS,1800 BOX RD,COLUMBUS,GA,31907,A,420,MUSCOGEE,13215,USA,32.479997326000046,-84.93591166999994,JUNIOR COLLEGES,2016-05-24T00:00:00Z,https://www.miller-motte.edu/,1,40,12,-2,1,7,369,376,44,,
26,1357,365091,INTERNATIONAL SCHOOL OF SKIN NAILCARE & MASSAGE THERAPY,5600 ROSWELL RD NE STE 10,ATLANTA,GA,30342,A,308,FULTON,13121,USA,33.90585602300007,-84.38047683899998,COSMETOLOGY AND BARBER SCHOOLS,2016-06-24T00:00:00Z,issnschoolspa.com/,1,0,12,-2,1,-999,285,285,23,,
28,1420,140720,PAINE COLLEGE,1235 15TH ST,AUGUSTA,GA,30901,A,298,RICHMOND,13245,USA,33.46951272900003,-81.99309267899997,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,www.paine.edu/,1,30,12,-2,1,34,155,189,109,,
30,1583,140252,LIFE UNIVERSITY,1269 BARCLAY CIRCLE,MARIETTA,GA,30060,A,3301,COBB,13067,USA,33.93210406600008,-84.51415613799998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-01T00:00:00Z,www.life.edu/,1,13,13,-2,2,363,2398,2761,540,,
32,1663,138929,ATLANTA'S JOHN MARSHALL LAW SCHOOL,1422 WEST PEACHTREE STREET NW,ATLANTA,GA,30309,A,375,FULTON,13121,USA,33.79339392600008,-84.38789834699998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-06-08T00:00:00Z,www.johnmarshall.edu/,1,13,11,-2,1,125,174,299,76,,
33,1691,244446,GEORGIA PIEDMONT TECHNICAL COLLEGE,495 N INDIAN CREEK DR,CLARKSTON,GA,30021,A,3169,DEKALB,13089,USA,33.78989836000005,-84.23450392199999,JUNIOR COLLEGES,2016-07-07T00:00:00Z,www.gptc.edu/,3,40,21,-2,2,1999,616,2615,554,,
34,1902,141361,YOUNG HARRIS COLLEGE,1 COLLEGE STREET,YOUNG HARRIS,GA,30582,A,1673,TOWNS,13281,USA,34.93316,-83.847765,JUNIOR COLLEGES,2016-07-26T00:00:00Z,www.yhc.edu/,1,20,43,-2,2,475,942,1417,256,,
35,1983,486691,EMPIRE BEAUTY SCHOOL-NORTHLAKE,"BRIARCLIFF VILLAGE, 2190 HENDERSON MILL ROAD",ATLANTA,GA,30345,A,130,DEKALB,13089,USA,33.847927,-84.257041,COSMETOLOGY AND BARBER SCHOOLS,2018-02-19T00:00:00Z,www.empire.edu/,2,0,21,-2,1,34,88,122,8,,
36,1999,138664,INTERACTIVE COLLEGE OF TECHNOLOGY-MORROW,1580 SOUTHLAKE PARKWAY SUITE C,MORROW,GA,30260,A,102,CLAYTON,13063,USA,33.572330169000054,-84.33609784399994,JUNIOR COLLEGES,2016-07-25T00:00:00Z,ict.edu/,2,40,21,-2,1,-999,90,90,12,,
37,2013,140340,HERZING UNIVERSITY-ATLANTA,50 HURT PLAZA SE STE. 400,ATLANTA,GA,30303,A,789,FULTON,13121,USA,33.754187616000024,-84.38741932099998,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2019-01-25T00:00:00Z,https://www.herzing.edu/,3,20,11,-2,1,279,453,732,57,,
38,2034,141167,THOMAS UNIVERSITY,1501 MILLPOND RD,THOMASVILLE,GA,31792,A,1502,THOMAS,13275,USA,30.815677206000032,-83.96510011899994,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2015-11-19T00:00:00Z,www.thomasu.edu/,2,20,32,-2,2,532,771,1303,199,,
39,2056,440101,EMPIRE BEAUTY SCHOOL-KENNESAW,"TOWN CENTER OAKS, 2615 GEORGE BUSBEE PARKWAY, STE 9",KENNESAW,GA,30144,A,115,COBB,13067,USA,34.011112,-84.562798,COSMETOLOGY AND BARBER SCHOOLS,2016-08-01T00:00:00Z,www.empire.edu/,1,0,21,-2,1,57,49,106,9,,
41,2232,140942,SAVANNAH TECHNICAL COLLEGE,5717 WHITE BLUFF RD,SAVANNAH,GA,31405,A,4085,CHATHAM,13051,USA,32.02321147400005,-81.11475309699995,JUNIOR COLLEGES,2016-07-07T00:00:00Z,www.savannahtech.edu/,1,40,12,-2,2,2412,1237,3649,436,,
42,2235,476948,SAE INSTITUTE OF TECHNOLOGY-ATLANTA,215 PEACHTREE STREET,ATLANTA,GA,30303,A,348,FULTON,13121,USA,33.759984220000035,-84.38828886499994,JUNIOR COLLEGES,2016-05-19T00:00:00Z,www.usa.sae.edu/,1,40,11,-2,1,-999,312,312,36,,
43,2244,138822,GEORGIA CAREER INSTITUTE,900 FLAT SHOALS ROAD SE,CONYERS,GA,30094,A,583,ROCKDALE,13247,USA,33.64341600500006,-84.01846670999998,COSMETOLOGY AND BARBER SCHOOLS,2019-01-25T00:00:00Z,gci.edu/,2,0,21,-2,1,-999,510,510,73,,
44,2260,457475,KEUNE ACADEMY BY 124,755 LAWRENCEVILLE-SUWANNEE RD BLDG 1300,LAWRENCEVILLE,GA,30043,A,117,GWINNETT,13135,USA,33.96488926800004,-84.02257469499995,COSMETOLOGY AND BARBER SCHOOLS,2015-11-23T00:00:00Z,www.keuneacademyby124.edu/,1,0,21,-2,1,-999,99,99,18,,
45,2283,139719,FORT VALLEY STATE UNIVERSITY,1005 STATE UNIVERSITY DR,FORT VALLEY,GA,31030,A,3692,PEACH,13225,USA,32.538163111000074,-83.89554780299994,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-08-02T00:00:00Z,www.fvsu.edu/,1,20,31,-2,2,548,2531,3079,613,,
46,2339,138813,THE ART INSTITUTE OF ATLANTA,"6600 PEACHTREE DUNWOODY RD., N.E., 100 EMBASSY ROW",ATLANTA,GA,30328,A,877,FULTON,13121,USA,33.936041044000035,-84.35524743599996,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",2016-07-25T00:00:00Z,www.artinstitutes.edu/atlanta,3,30,12,-2,1,181,633,814,63,,
